dataset_split,batch_index,num_samples,mse,rmse,vrmse
test,36,1,4.209066867828369,2.051600933074951,0.06682595610618591
test,37,1,2.887706756591797,1.699325442314148,0.055619169026613235
test,38,1,3.226422071456909,1.7962243556976318,0.058951236307621
test,39,1,3.2219398021698,1.7949762344360352,0.05889669805765152
test,40,1,2.44561767578125,1.5638470649719238,0.051186319440603256
test,41,1,2.659632921218872,1.63083815574646,0.053215641528367996
test,42,1,2.3028204441070557,1.5175046920776367,0.04948476701974869
test,43,1,2.9048562049865723,1.7043638229370117,0.05561501532793045
test,44,1,3.1342484951019287,1.7703808546066284,0.05784883722662926
test,45,1,3.091860771179199,1.758368730545044,0.05740339681506157
test,46,1,2.841041088104248,1.6855387687683105,0.055000923573970795
test,47,1,3.114622116088867,1.764829158782959,0.05739966779947281
test,48,1,2.0661940574645996,1.437426209449768,0.04676426574587822
test,49,1,2.2594852447509766,1.503158450126648,0.048918820917606354
test,50,1,2.32588791847229,1.5250861644744873,0.04970494657754898
test,51,1,2.5280234813690186,1.5899759531021118,0.051646072417497635
test,52,1,2.4160773754119873,1.5543736219406128,0.0503070242702961
test,53,1,3.05686092376709,1.7483880519866943,0.056341752409935
test,54,1,4.028025150299072,2.0069940090179443,0.06464318186044693
test,55,1,2.1850812435150146,1.478201985359192,0.04748241975903511
test,56,1,3.0244226455688477,1.7390867471694946,0.05571410432457924
test,57,1,2.3033013343811035,1.5176631212234497,0.04847929999232292
test,58,1,3.222015142440796,1.794997215270996,0.057393915951251984
test,59,1,2.67490816116333,1.6355146169662476,0.052432697266340256
test,60,1,2.2068681716918945,1.4855531454086304,0.047684233635663986
test,61,1,2.2847323417663574,1.5115331411361694,0.04851985350251198
test,62,1,2.558305025100708,1.5994702577590942,0.05144129693508148
test,63,1,3.5918099880218506,1.895207166671753,0.0609498955309391
test,64,1,4.95081090927124,2.2250418663024902,0.07187968492507935
test,65,1,3.9675188064575195,1.9918631315231323,0.06468874216079712
test,66,1,4.6013407707214355,2.145073652267456,0.07019782811403275
test,67,1,3.773808479309082,1.9426292181015015,0.06355676054954529
test,68,1,2.792924642562866,1.6712045669555664,0.054547034204006195
test,69,1,3.3873047828674316,1.8404631614685059,0.05996580421924591
test,70,1,2.572648048400879,1.603947639465332,0.0521954745054245
test,71,1,4.366348743438721,2.08958101272583,0.06819608807563782
test,72,1,3.034885883331299,1.7420923709869385,0.05683807656168938
test,73,1,3.450700283050537,1.857606053352356,0.06081685423851013
test,74,1,3.9475831985473633,1.9868525266647339,0.06517399847507477
test,75,1,2.8165154457092285,1.6782476902008057,0.055155687034130096
test,76,1,3.0701072216033936,1.7521721124649048,0.05776086822152138
test,77,1,2.2627298831939697,1.5042372941970825,0.04957323521375656
test,78,1,2.6256625652313232,1.6203895807266235,0.05346110463142395
test,79,1,2.0206785202026367,1.4215056896209717,0.04695673659443855
test,80,1,2.7878189086914062,1.6696763038635254,0.05544239282608032
test,81,1,2.8649959564208984,1.6926299333572388,0.05626785010099411
test,82,1,3.3146286010742188,1.8206121921539307,0.060440145432949066
test,83,1,3.0295112133026123,1.740549087524414,0.057721253484487534
test,84,1,2.516153573989868,1.5862388610839844,0.052551936358213425
test,85,1,2.564525842666626,1.6014137268066406,0.052993424236774445
test,86,1,1.9018877744674683,1.3790894746780396,0.045798081904649734
test,87,1,2.1262428760528564,1.4581642150878906,0.048525914549827576
test,88,1,2.445920944213867,1.5639439821243286,0.05207239091396332
test,89,1,2.4940025806427,1.579241156578064,0.05254611745476723
test,90,1,2.1028060913085938,1.4501055479049683,0.04814058914780617
test,91,1,2.260892152786255,1.5036263465881348,0.04975688084959984
test,92,1,3.0891377925872803,1.757594347000122,0.05807933211326599
test,93,1,2.3905234336853027,1.5461317300796509,0.0511934757232666
test,94,1,1.7432063817977905,1.3203054666519165,0.04381454735994339
test,95,1,1.7281447649002075,1.3145891427993774,0.043788958340883255
test,96,1,1.7104318141937256,1.3078347444534302,0.04355235770344734
test,97,1,2.17704439163208,1.4754810333251953,0.04912855103611946
test,98,1,2.1910762786865234,1.4802284240722656,0.04933345690369606
test,99,1,2.2448036670684814,1.4982669353485107,0.05010167881846428
test,100,1,1.810872197151184,1.3456865549087524,0.045252569019794464
test,101,1,1.6473206281661987,1.283479928970337,0.04332393407821655
test,102,1,1.5080294609069824,1.2280185222625732,0.04154270514845848
test,103,1,2.305997848510742,1.518551230430603,0.05149802565574646
test,104,1,2.1508865356445312,1.4665900468826294,0.04971899464726448
test,105,1,2.14375638961792,1.464157223701477,0.049746204167604446
test,106,1,2.183213710784912,1.4775701761245728,0.050259076058864594
test,107,1,1.9434000253677368,1.3940588235855103,0.047586824744939804
test,108,1,2.3991003036499023,1.548902988433838,0.05322019010782242
test,109,1,1.8172962665557861,1.3480713367462158,0.046444121748209
test,110,1,1.3124101161956787,1.1456047296524048,0.039573196321725845
test,111,1,1.8562862873077393,1.36245596408844,0.04729318246245384
test,112,1,1.8009161949157715,1.3419822454452515,0.046454042196273804
test,113,1,2.1952483654022217,1.4816370010375977,0.05124979466199875
test,114,1,2.0062623023986816,1.4164259433746338,0.049140457063913345
test,115,1,2.6650781631469727,1.6325067281723022,0.05654789134860039
test,116,1,1.6451934576034546,1.2826509475708008,0.044344473630189896
test,117,1,1.951865792274475,1.3970918655395508,0.04824506863951683
test,118,1,1.6010217666625977,1.2653149366378784,0.04375791922211647
test,119,1,1.875993251800537,1.3696690797805786,0.04749307781457901
test,120,1,1.4228092432022095,1.1928156614303589,0.04148752987384796
test,121,1,1.5227323770523071,1.2339904308319092,0.042995765805244446
test,122,1,1.749778151512146,1.3227918148040771,0.04640747234225273
test,123,1,1.8816224336624146,1.3717224597930908,0.048562876880168915
test,124,1,2.0635859966278076,1.436518669128418,0.05107889696955681
test,125,1,1.6518712043762207,1.2852513790130615,0.04572317749261856
test,126,1,2.045933485031128,1.430361270904541,0.0511108823120594
test,127,1,3.1149895191192627,1.7649333477020264,0.06363170593976974
test,128,1,2.1022489070892334,1.4499133825302124,0.05237678065896034
test,129,1,1.712256669998169,1.3085322380065918,0.04737139120697975
test,130,1,1.2559350728988647,1.12068510055542,0.04063364490866661
test,131,1,1.2858623266220093,1.1339586973190308,0.04121434688568115
test,132,1,1.3391385078430176,1.1572115421295166,0.0422217883169651
test,133,1,1.3663281202316284,1.1689003705978394,0.04289137199521065
test,134,1,1.8348497152328491,1.354566216468811,0.05017821863293648
test,135,1,2.810161828994751,1.6763536930084229,0.06227375939488411
test,136,1,1.7028728723526,1.3049416542053223,0.04867463931441307
test,137,1,1.959765076637268,1.3999160528182983,0.052464697510004044
test,138,1,2.3854081630706787,1.5444766283035278,0.058490075170993805
test,139,1,2.2807021141052246,1.5101993083953857,0.05718511343002319
test,140,1,1.856248378753662,1.3624420166015625,0.051604289561510086
test,141,1,2.0841269493103027,1.4436506032943726,0.055024437606334686
test,142,1,1.8911964893341064,1.375207781791687,0.05241863802075386
test,143,1,1.8861762285232544,1.37338125705719,0.0525202639400959
test,144,1,1.5339298248291016,1.2385191917419434,0.04752679169178009
test,145,1,1.5635592937469482,1.2504236698150635,0.04784224554896355
test,146,1,1.7175310850143433,1.3105461597442627,0.04991820082068443
test,147,1,1.4310272932052612,1.1962555646896362,0.04556933790445328
test,148,1,1.2960678339004517,1.138449788093567,0.043547190725803375
test,149,1,1.5549286603927612,1.2469677925109863,0.04792758822441101
test,150,1,1.6031619310379028,1.2661603689193726,0.0487748384475708
test,151,1,1.3660215139389038,1.1687692403793335,0.04509852081537247
test,152,1,1.5751465559005737,1.255048394203186,0.048614710569381714
test,153,1,1.4901491403579712,1.2207165956497192,0.04762700945138931
test,154,1,2.4554760456085205,1.5669958591461182,0.061750221997499466
test,155,1,1.6445389986038208,1.282395839691162,0.050615377724170685
test,156,1,2.429178237915039,1.558582067489624,0.06203329563140869
test,157,1,2.2034668922424316,1.484407901763916,0.05971900001168251
test,158,1,1.8947087526321411,1.3764841556549072,0.055944398045539856
test,159,1,2.092768669128418,1.4466404914855957,0.05946389213204384
test,160,1,2.1448285579681396,1.4645233154296875,0.0609576553106308
test,161,1,2.1002249717712402,1.449215292930603,0.06120578572154045
test,162,1,2.3297977447509766,1.5263675451278687,0.06550471484661102
test,163,1,2.4758219718933105,1.5734745264053345,0.06808462738990784
test,164,1,2.4648289680480957,1.5699774026870728,0.06877274811267853
test,165,1,1.8305891752243042,1.3529926538467407,0.05935506895184517
test,166,1,1.782676339149475,1.3351690769195557,0.05825292691588402
test,167,1,2.1087255477905273,1.4521450996398926,0.0631764754652977
test,168,1,1.9950220584869385,1.4124524593353271,0.061956360936164856
test,169,1,1.5521081686019897,1.2458363771438599,0.05487050488591194
test,170,1,1.674618124961853,1.2940703630447388,0.057528648525476456
test,171,1,2.0230376720428467,1.4223352670669556,0.06381532549858093
test,172,1,2.1824817657470703,1.4773224592208862,0.06668535619974136
test,173,1,1.981589436531067,1.4076894521713257,0.06328076124191284
test,174,1,2.4803097248077393,1.5748999118804932,0.07114588469266891
test,175,1,2.754852771759033,1.659774899482727,0.07584216445684433
test,176,1,3.2689461708068848,1.8080227375030518,0.08359692245721817
test,177,1,3.028475761413574,1.7402516603469849,0.08114993572235107
test,178,1,2.6182775497436523,1.6181092262268066,0.07682832330465317
test,179,1,2.1291918754577637,1.4591751098632812,0.07051297277212143
test,180,1,1.8528506755828857,1.3611946105957031,0.0659262016415596
test,181,1,1.638350009918213,1.2799804210662842,0.062153588980436325
test,182,1,1.7872720956802368,1.3368889093399048,0.06505837291479111
test,183,1,1.5985397100448608,1.264333724975586,0.06145985424518585
test,184,1,1.6144167184829712,1.270596981048584,0.06135650724172592
test,185,1,1.7196977138519287,1.3113723993301392,0.0635027140378952
test,186,1,1.8805797100067139,1.3713423013687134,0.06698291003704071
test,187,1,2.117208242416382,1.455062985420227,0.07158409804105759
test,188,1,1.9141863584518433,1.383541226387024,0.06833413988351822
test,189,1,1.9296875,1.3891319036483765,0.06909990310668945
test,190,1,2.188912868499756,1.4794975519180298,0.07423880696296692
test,191,1,2.2581565380096436,1.5027164220809937,0.07623597979545593
test,192,1,1.9116575717926025,1.382627010345459,0.07123709470033646
test,193,1,1.4618622064590454,1.2090749740600586,0.06315236538648605
test,194,1,1.8380074501037598,1.3557313680648804,0.07183540612459183
test,195,1,1.6989803314208984,1.3034493923187256,0.06989964097738266
test,196,1,1.716986894607544,1.3103384971618652,0.07046730071306229
test,197,1,1.327892780303955,1.1523423194885254,0.06289245188236237
test,198,1,1.2581671476364136,1.121680498123169,0.06203201040625572
test,199,1,1.6906894445419312,1.3002651929855347,0.07236552238464355
test,200,1,2.047973871231079,1.4310743808746338,0.08068658411502838
test,201,1,2.0675742626190186,1.437906265258789,0.08307871222496033
test,202,1,1.7132277488708496,1.3089032173156738,0.07828383892774582
test,203,1,1.6269276142120361,1.2755106687545776,0.0783715769648552
test,204,1,1.351640224456787,1.1626006364822388,0.07270434498786926
test,205,1,1.7876601219177246,1.3370341062545776,0.08547443896532059
test,206,1,0.9818444848060608,0.9908806681632996,0.06490179151296616
test,207,1,1.8254519701004028,1.3510929346084595,0.09071721136569977
test,208,1,1.5269063711166382,1.2356805801391602,0.08189494907855988
test,209,1,1.325319766998291,1.1512253284454346,0.0761263370513916
test,210,1,1.57725989818573,1.255890130996704,0.08472301810979843
test,211,1,1.2788721323013306,1.1308722496032715,0.07715948671102524
test,212,1,1.45255446434021,1.2052196264266968,0.08274233341217041
test,213,1,1.649444580078125,1.2843070030212402,0.08832326531410217
test,214,1,1.7838354110717773,1.3356029987335205,0.09174840152263641
test,215,1,1.7643964290618896,1.3283058404922485,0.09106408804655075
test,216,1,1.982025146484375,1.4078441858291626,0.0967753455042839
test,217,1,1.762534737586975,1.32760488986969,0.09234175831079483
test,218,1,1.7910370826721191,1.3382962942123413,0.09466087073087692
test,219,1,1.370544672012329,1.1707026958465576,0.08388327807188034
test,220,1,2.367856025695801,1.5387839078903198,0.10871592164039612
test,221,1,1.7140567302703857,1.3092198371887207,0.09340906888246536
test,222,1,1.5275001525878906,1.235920786857605,0.08842483907938004
test,223,1,1.3597664833068848,1.1660902500152588,0.08293834328651428
test,224,1,1.152630090713501,1.0736061334609985,0.07745048403739929
test,225,1,1.2548942565917969,1.12022066116333,0.08124080300331116
test,226,1,1.3487449884414673,1.1613547801971436,0.08372946828603745
test,227,1,1.3814704418182373,1.1753597259521484,0.08483397215604782
test,228,1,1.0794646739959717,1.0389728546142578,0.07546224445104599
test,229,1,1.3935942649841309,1.1805059909820557,0.08719667792320251
test,230,1,1.6206634044647217,1.2730528116226196,0.09335753321647644
test,231,1,1.3482630252838135,1.1611472368240356,0.0837354063987732
test,232,1,1.921094536781311,1.3860355615615845,0.10086637735366821
test,233,1,2.5474231243133545,1.5960649251937866,0.11613990366458893
test,234,1,2.0415751934051514,1.4288370609283447,0.1043892353773117
test,235,1,1.7437459230422974,1.320509672164917,0.09857044368982315
test,236,1,1.5432124137878418,1.2422610521316528,0.09181026369333267
test,237,1,1.8031747341156006,1.3428233861923218,0.09645778685808182
test,238,1,1.5992175340652466,1.264601707458496,0.09043888002634048
test,239,1,0.8992719054222107,0.9482994675636292,0.06765250116586685
test,240,1,0.8416992425918579,0.9174416661262512,0.06539944559335709
test,241,1,0.8171206712722778,0.9039472937583923,0.06394126266241074
test,242,1,1.6371183395385742,1.2794992923736572,0.09028323739767075
test,243,1,1.5750038623809814,1.2549915313720703,0.08950062096118927
test,244,1,1.2372080087661743,1.1122984886169434,0.07939878851175308
test,245,1,1.2590235471725464,1.1220622062683105,0.07871098816394806
test,246,1,1.545353889465332,1.2431225776672363,0.08424890786409378
test,247,1,1.589030146598816,1.2605674266815186,0.08514686673879623
test,248,1,1.0662267208099365,1.0325825214385986,0.06921332329511642
test,249,1,0.9980116486549377,0.9990053176879883,0.0671616718173027
test,250,1,0.8501986861228943,0.9220622181892395,0.061714429408311844
test,251,1,1.2765445709228516,1.129842758178711,0.07654483616352081
test,252,1,1.6556521654129028,1.2867214679718018,0.08732561767101288
test,253,1,1.2254092693328857,1.1069821119308472,0.07467290759086609
test,254,1,2.843947649002075,1.6864007711410522,0.11132682859897614
test,255,1,1.7161669731140137,1.3100255727767944,0.08603314310312271
test,256,1,2.2099690437316895,1.4865964651107788,0.09768711775541306
test,257,1,1.4082307815551758,1.186689019203186,0.07738002389669418
test,258,1,1.4690607786178589,1.2120481729507446,0.07808894664049149
test,259,1,1.9737098217010498,1.4048877954483032,0.09038293361663818
test,260,1,1.643810749053955,1.2821118831634521,0.08291161805391312
test,261,1,1.7332544326782227,1.3165311813354492,0.08507753163576126
test,262,1,2.5525155067443848,1.5976593494415283,0.10293659567832947
test,263,1,2.202458620071411,1.4840682744979858,0.0947738066315651
test,264,1,1.285496473312378,1.1337974071502686,0.07219336181879044
test,265,1,1.364380955696106,1.168067216873169,0.07455698400735855
test,266,1,1.2788596153259277,1.1308667659759521,0.07174985855817795
test,267,1,1.51105797290802,1.2292510271072388,0.07776337116956711
test,268,1,2.6466763019561768,1.6268608570098877,0.1020447388291359
test,269,1,1.8768099546432495,1.3699671030044556,0.08631770312786102
test,270,1,1.475661277770996,1.2147680521011353,0.07586326450109482
test,271,1,1.4846807718276978,1.2184747457504272,0.07558241486549377
test,272,1,1.0059425830841064,1.0029668807983398,0.06181968003511429
test,273,1,0.978197455406189,0.9890386462211609,0.06044771149754524
test,274,1,1.0927503108978271,1.045346975326538,0.0630945935845375
test,275,1,1.2021404504776,1.0964215993881226,0.0651240199804306
test,276,1,1.1451448202133179,1.0701143741607666,0.062842458486557
test,277,1,1.313506841659546,1.1460832357406616,0.06634017080068588
test,278,1,1.0583326816558838,1.0287529230117798,0.059206265956163406
test,279,1,1.3496119976043701,1.161728024482727,0.0666448324918747
test,280,1,1.5890319347381592,1.2605681419372559,0.07139711081981659
test,281,1,1.7662246227264404,1.328993797302246,0.07463937252759933
test,282,1,1.5561213493347168,1.2474459409713745,0.0697803795337677
test,283,1,1.3424038887023926,1.1586215496063232,0.06574226170778275
test,284,1,1.388954997062683,1.1785393953323364,0.06629349291324615
test,285,1,1.161298394203186,1.0776355266571045,0.059474773705005646
test,286,1,1.0260084867477417,1.0129207372665405,0.05525468662381172
test,287,1,1.124598503112793,1.0604709386825562,0.057800356298685074
test,288,1,1.279191255569458,1.1310133934020996,0.06100854277610779
test,289,1,1.6214797496795654,1.2733733654022217,0.06848672032356262
test,290,1,1.787825345993042,1.337095856666565,0.0715288296341896
test,291,1,1.8459923267364502,1.3586729764938354,0.07146041095256805
test,292,1,2.474635124206543,1.5730973482131958,0.08188294619321823
test,293,1,2.230742931365967,1.4935672283172607,0.07660026103258133
test,294,1,2.6638050079345703,1.632116675376892,0.08264830708503723
test,295,1,2.222914218902588,1.4909440279006958,0.07486485689878464
test,296,1,3.477806568145752,1.8648878335952759,0.09232683479785919
test,297,1,4.146582126617432,2.03631591796875,0.0988449975848198
test,298,1,2.423983097076416,1.5569145679473877,0.07455474138259888
test,299,1,3.171497344970703,1.7808698415756226,0.08383973687887192
test,300,1,2.452932357788086,1.5661840438842773,0.07251805067062378
test,301,1,1.9508548974990845,1.3967300653457642,0.06359033286571503
test,302,1,2.5594472885131836,1.5998272895812988,0.07229283452033997
test,303,1,2.3105432987213135,1.5200471878051758,0.0683099776506424
test,304,1,2.2559220790863037,1.5019726753234863,0.06708943098783493
test,305,1,2.3303215503692627,1.5265390872955322,0.06733492016792297
test,306,1,2.2700438499450684,1.5066664218902588,0.06536324322223663
test,307,1,2.847651481628418,1.6874985694885254,0.07225848734378815
test,308,1,2.0922274589538574,1.4464534521102905,0.061770033091306686
test,309,1,2.785921812057495,1.6691080331802368,0.07079093903303146
test,310,1,2.042754650115967,1.42924964427948,0.05999332293868065
test,311,1,3.0779519081115723,1.7544093132019043,0.07303162664175034
test,312,1,4.0506815910339355,2.0126304626464844,0.0841449722647667
test,313,1,4.456706523895264,2.111091375350952,0.08796893060207367
test,314,1,3.2296080589294434,1.7971110343933105,0.07450201362371445
test,315,1,2.8332719802856445,1.6832325458526611,0.06981714814901352
test,316,1,2.198408365249634,1.4827030897140503,0.06130814179778099
test,317,1,1.924912691116333,1.387412190437317,0.05697503685951233
test,318,1,2.332709312438965,1.5273209810256958,0.06205711141228676
test,319,1,2.0302882194519043,1.4248818159103394,0.057495612651109695
test,320,1,2.644354820251465,1.6261472702026367,0.06473422795534134
test,321,1,2.3039162158966064,1.5178656578063965,0.05950102210044861
test,322,1,2.2876837253570557,1.5125091075897217,0.05897175893187523
test,323,1,2.7445638179779053,1.656672477722168,0.06462698429822922
test,324,1,2.2936291694641113,1.5144731998443604,0.059146929532289505
test,325,1,3.1641287803649902,1.7787997722625732,0.06933474540710449
test,326,1,3.187115430831909,1.7852493524551392,0.06938684731721878
test,327,1,2.1182260513305664,1.4554126262664795,0.056479308754205704
test,328,1,2.1620326042175293,1.470385193824768,0.056994300335645676
test,329,1,4.707685947418213,2.16972017288208,0.08377216756343842
test,330,1,2.6000726222991943,1.6124740839004517,0.06199172884225845
test,331,1,3.453089475631714,1.8582490682601929,0.07139220833778381
test,332,1,3.1603190898895264,1.7777286767959595,0.06810157746076584
test,333,1,2.7749149799346924,1.6658076047897339,0.06319059431552887
test,334,1,2.7552425861358643,1.6598923206329346,0.062120221555233
test,335,1,2.2248802185058594,1.4916032552719116,0.055360645055770874
test,336,1,2.340345859527588,1.5298188924789429,0.05648922547698021
test,337,1,2.6135334968566895,1.616642713546753,0.05945281311869621
test,338,1,2.908634901046753,1.7054719924926758,0.06262391805648804
test,339,1,2.7268693447113037,1.6513235569000244,0.06067650020122528
test,340,1,3.351083278656006,1.8305964469909668,0.06716714799404144
test,341,1,3.2705419063568115,1.8084639310836792,0.06609812378883362
test,342,1,3.3554346561431885,1.8317846059799194,0.06660671532154083
test,343,1,2.9759652614593506,1.7250986099243164,0.06263277679681778
test,344,1,2.8759210109710693,1.6958540678024292,0.06126667931675911
test,345,1,2.7232494354248047,1.6502270698547363,0.05911175161600113
test,346,1,1.9141619205474854,1.3835324048995972,0.04927384480834007
test,347,1,2.0608177185058594,1.4355548620224,0.05113440379500389
test,348,1,2.8294174671173096,1.6820871829986572,0.05937372148036957
test,349,1,1.7836834192276,1.3355461359024048,0.046906132251024246
test,350,1,2.437979221343994,1.5614029169082642,0.054769545793533325
test,351,1,2.4132819175720215,1.5534741878509521,0.05447549745440483
test,352,1,2.6002845764160156,1.6125397682189941,0.05642378330230713
test,353,1,2.885568618774414,1.6986961364746094,0.05913061648607254
test,354,1,2.5901105403900146,1.6093820333480835,0.05601368099451065
test,355,1,3.7603085041046143,1.9391515254974365,0.06778029352426529
test,356,1,2.9537250995635986,1.7186404466629028,0.060023702681064606
test,357,1,1.6534228324890137,1.2858549356460571,0.04477742686867714
test,358,1,1.7027961015701294,1.3049123287200928,0.04539882019162178
test,359,1,2.1672489643096924,1.4721579551696777,0.051130522042512894
test,all,360,2.200034694870313,1.462959815065066,0.06366727451483409
